"id"	"oas"
"PDCD10"	"oas:101122826"
"XYLB"	"oas:101116261"
"RRM1"	"oas:101116288"
"TUBGCP2"	"oas:101113640"
"HTR1F"	"oas:101121647"
"GPIHBP1"	"oas:101115549"
"VAPA"	"oas:101104707"
"VAPA"	"oas:101104707"
"PCDH1"	"oas:101108128"
"PCDH1"	"oas:101108128"
"LY6H"	"oas:101118536"
"NDEL1"	"oas:101108583"
"NDEL1"	"oas:101108583"
"CCDC113"	"oas:101104419"
"PUS10"	"oas:101118346"
"LSM1"	"oas:101113285"
"ZNF205"	"oas:101119270"
"NXPE2"	"oas:101115226"
"NXPE2"	"oas:101115226"
"FBXO22"	"oas:101102339"
"BAG4"	"oas:101118503"
"ATP6AP2"	"oas:101103453"
"ATP6AP2"	"oas:101103453"
"NRG4"	"oas:101115657"
"NRG4"	"oas:101115657"
"VTA1"	"oas:101116660"
"MDM1"	"oas:101106759"
"MDM1"	"oas:101106759"
"CAV1"	"oas:445468"
"CGGBP1"	"oas:101121901"
"APCDD1"	"oas:101102919"
"DLX2"	"oas:101106667"
"TPH1"	"oas:101113620"
"CST6"	"oas:101123010"
"ISOC2"	"oas:101120012"
"SMG7"	"oas:101105838"
"SMG7"	"oas:101105838"
"COMMD3"	"oas:105601866"
"GIMAP6"	"oas:101110230"
"DDHD2"	"oas:101112451"
"SHISA7"	"oas:101120268"
"CENPI"	"oas:101104558"
"CENPI"	"oas:101104558"
"UBE2S"	"oas:101120352"
"CHI3L1"	"oas:443279"
"DHCR7"	"oas:101118320"
"HCRTR1"	"oas:443167"
"NAPG"	"oas:101108096"
"CAV2"	"oas:100126571"
"PSEN2"	"oas:101113776"
"M6PR"	"oas:101102802"
"PMS2"	"oas:101122793"
"PMS2"	"oas:101122793"
"SPNS1"	"oas:101110989"
"SRD5A3"	"oas:101106772"
"SRD5A3"	"oas:101106772"
"CATHL1B"	"oas:443312"
"GCSH"	"oas:101120772"
"TINAGL1"	"oas:101119187"
"EIF2B3"	"oas:101118316"
"ADGRG6"	"oas:101116915"
